Investigation,Event_Date,Severity,Aircraft_damage,Aircraft_Category,Make,Model,Engines,Engine_Type,Purpose,Fatal,Serious,Minor,Uninjured,Weather,Event_Year
Accident,2009-06-12,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-12,Non-Fatal,Substantial,Airplane,Aviat aircraft inc,A-1A,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-12,Non-Fatal,Substantial,Airplane,Air tractor,AT-402A,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-12,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Incident,2009-06-12,Non-Fatal,Unknown,Airplane,Boeing,737,2.0,Unknown,Unknown,0.0,0.0,0.0,0.0,Unknown,2009
Accident,2009-06-12,Non-Fatal,Substantial,Airplane,Piper,PA-36-285,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-13,Fatal,Substantial,Airplane,Cessna,177 RG,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-13,Non-Fatal,Substantial,Airplane,Diamond aircraft ind inc,DA 40,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-13,Non-Fatal,Substantial,Airplane,Beech,F33A,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-13,Non-Fatal,Unknown,Airplane,Dehavilland,DHC-6 TWIN,2.0,Turbo Prop,Skydiving,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-13,Non-Fatal,Substantial,Airplane,Wermling,KR-2 RAND ROBINSON,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-13,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-14,Fatal,Substantial,Airplane,Piper,PA-28R-180,1.0,Reciprocating,Instructional,3.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Howard,LONG EZ,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Aviat,A1,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Aeronca,7AC,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Beech,C17B,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Air tractor,AT-602,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-14,Non-Fatal,Substantial,Airplane,Clarke colin a,Glastar,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Incident,2009-06-14,Non-Fatal,Unknown,Airplane,Boeing,737,2.0,Turbo Fan,Unknown,0.0,2.0,0.0,0.0,VMC,2009
Accident,2009-06-15,Non-Fatal,Substantial,Airplane,Dreyer,STARDUSTER,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-15,Non-Fatal,Substantial,Airplane,Cessna,U206F,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-06-15,Fatal,Substantial,Airplane,Cessna,150,1.0,Unknown,Unknown,2.0,0.0,1.0,0.0,Unknown,2009
Accident,2009-06-15,Non-Fatal,Substantial,Airplane,Cessna,180F,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2009
Accident,2009-06-15,Non-Fatal,Unknown,Airplane,Beech,B100,2.0,Turbo Prop,Unknown,0.0,4.0,1.0,0.0,VMC,2009
Accident,2009-06-15,Non-Fatal,Substantial,Airplane,Cessna,A188B,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,2009
Incident,2009-06-15,Non-Fatal,Minor,Airplane,Boeing,757,2.0,Unknown,Unknown,0.0,0.0,0.0,0.0,Unknown,2009
Accident,2009-06-17,Fatal,Destroyed,Airplane,Cirrus design corporation,SR22,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-17,Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-17,Non-Fatal,Substantial,Airplane,Cessna,207,1.0,Reciprocating,Other Work Use,0.0,1.0,0.0,2.0,VMC,2009
Accident,2009-06-17,Fatal,Substantial,Airplane,Champion,7ECA,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-17,Non-Fatal,Substantial,Airplane,Dornier gmbh,ALPHA-JET,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-18,Non-Fatal,Substantial,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-06-18,Fatal,Substantial,Airplane,Chris mitchell,TITAN TORNADO,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-18,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-18,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-19,Non-Fatal,Substantial,Airplane,Bellanca,17-31ATC,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-19,Non-Fatal,Substantial,Airplane,Simmons,Vans RV-8A,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-19,Non-Fatal,Destroyed,Airplane,Ayres corporation,S2R-600,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-19,Non-Fatal,Substantial,Airplane,Luscombe,8,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-19,Fatal,Destroyed,Airplane,Cessna,R182,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,2009
Accident,2009-06-19,Non-Fatal,Substantial,Airplane,Gunnoe,Velocity,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Incident,2009-06-19,Non-Fatal,Unknown,Airplane,Boeing,767,2.0,Unknown,Unknown,0.0,0.0,0.0,216.0,Unknown,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,North american/victoria mnt lt,AT-6A,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Aircraft mfg & development co,CH 601XL S,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Mooney,M20TN,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Cessna,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Piper,PA-24,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-20,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Public Aircraft - State,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-21,Non-Fatal,Substantial,Airplane,Hummelbird,Hummelbird,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-21,Non-Fatal,Substantial,Airplane,Cessna,T206H,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-21,Non-Fatal,Substantial,Airplane,Stucker virgil a,AVID MAGNU,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-21,Fatal,Substantial,Airplane,Beech,V35A,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Jenkins jack,GLASTAR SP,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Cessna,177 RG,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,1.0,1.0,2.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Public Aircraft,0.0,2.0,0.0,0.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Piper,L-21B,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-22,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-23,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-23,Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-23,Fatal,Substantial,Airplane,Mayo,RV-6A,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-23,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,2009
Incident,2009-06-23,Non-Fatal,Unknown,Airplane,Airbus,A330-323,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,217.0,IMC,2009
Accident,2009-06-23,Non-Fatal,Substantial,Airplane,Aviat,Husky,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Bakeng,DEUCE,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Destroyed,Airplane,Pietenpol,GN-1,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Cessna,210-5(205),1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Stinson,108-3,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Weston,SEA-ERA,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Hubbell,Prescott Pusher,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-24,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Unknown,Unknown,0.0,0.0,0.0,3.0,Unknown,2009
Accident,2009-06-25,Fatal,Substantial,Airplane,Beech,B95,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-25,Fatal,Substantial,Airplane,Schendl,Mustang II,1.0,Reciprocating,Flight Test,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-25,Non-Fatal,Substantial,Airplane,Pitts aerobatics,S-2B,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-25,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-25,Non-Fatal,Substantial,Airplane,Piper,PA-31T1,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-25,Non-Fatal,Substantial,Airplane,Shultz jeffrey d,SONEX,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-25,Non-Fatal,Substantial,Airplane,Quicksilver,MXII SPORT,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-06-26,Non-Fatal,Substantial,Airplane,Michael j. kohout,Glassair III,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,2009
Accident,2009-06-26,Fatal,Substantial,Airplane,Piper,PA-32R-300,1.0,Reciprocating,Personal,3.0,1.0,1.0,0.0,VMC,2009
Incident,2009-06-26,Non-Fatal,Unknown,Airplane,Bombardier inc,DHC-8-202,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,66.0,VMC,2009
Accident,2009-06-27,Non-Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-06-27,Non-Fatal,Substantial,Airplane,Cessna,172D,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-27,Non-Fatal,Substantial,Airplane,Waco classic aircraft,YMF-F5C,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-27,Fatal,Substantial,Airplane,Layson stanley b,STEEN SKY BOLT,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-27,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,2009
Accident,2009-06-27,Non-Fatal,Substantial,Airplane,Champion,7GCAA,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-28,Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,2.0,0.0,1.0,0.0,VMC,2009
Accident,2009-06-28,Non-Fatal,Substantial,Airplane,Cessna,170A,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-28,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-29,Fatal,Destroyed,Airplane,Airbus,A310,2.0,Unknown,Unknown,152.0,0.0,1.0,0.0,Unknown,2009
Accident,2009-06-29,Non-Fatal,Substantial,Airplane,Champion,7GCAA,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-06-29,Non-Fatal,Substantial,Airplane,Weatherhead peter l,STOL CH 701,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-29,Non-Fatal,Substantial,Airplane,Boeing,A75N1(PT17),1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-29,Non-Fatal,Substantial,Airplane,Cirrus design corp,SR22,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-06-30,Non-Fatal,Substantial,Airplane,Cessna,LC-126C,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2009
Accident,2009-06-30,Fatal,Substantial,Airplane,Piper aircraft inc,PA-46-350P,1.0,Unknown,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-06-30,Non-Fatal,Substantial,Airplane,Air tractor inc,AT-602,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-01,Non-Fatal,Substantial,Airplane,Diamond aircraft ind inc,DA 20-C1,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-01,Non-Fatal,Substantial,Airplane,Republic,RC-3,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,2009
Accident,2009-07-01,Non-Fatal,Substantial,Airplane,Ayres,S2R-G6,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-07-01,Non-Fatal,Substantial,Airplane,Remos,G-3/6000,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-01,Non-Fatal,Substantial,Airplane,Cessna,T210L,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-01,Non-Fatal,Substantial,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,2009
Accident,2009-07-02,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-02,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-02,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-02,Non-Fatal,Substantial,Airplane,Mooney,M20,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,2009
Accident,2009-07-02,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Piper,PA-30,2.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,VMC,2009
Accident,2009-07-03,Fatal,Substantial,Airplane,Beech,C35,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,2009
Accident,2009-07-03,Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Taylorcraft,DCO-65,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Cessna,441,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,3.0,Unknown,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Champion,7AC,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Incident,2009-07-03,Non-Fatal,Minor,Airplane,Cirrus design corporation,SR22,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,2.0,Unknown,Unknown,0.0,0.0,2.0,0.0,VMC,2009
Accident,2009-07-03,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-04,Fatal,Substantial,Airplane,Aero vodochody,L-29,1.0,Turbo Jet,Personal,2.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,North american,T-28B,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,Reciprocating,Banner Tow,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Waco,UPF-7,1.0,Reciprocating,Other Work Use,0.0,3.0,0.0,0.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Lancair company,LC42-550FG,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Cessna,172RG,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Consolidated aeronautics inc.,LAKE LA-4-200,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-04,Non-Fatal,Substantial,Airplane,Wohnoutka steven m,TEAM Z MAX,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-05,Fatal,Substantial,Airplane,Pilatus,PC-12/45,1.0,Turbo Prop,Personal,4.0,0.0,0.0,0.0,IMC,2009
Accident,2009-07-05,Fatal,Destroyed,Airplane,Cessna,400,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,2009
Accident,2009-07-05,Non-Fatal,Substantial,Airplane,Cessna,150B,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-07-05,Non-Fatal,Substantial,Airplane,Thompson david,CHALLENGER,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-07-05,Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-05,Non-Fatal,Substantial,Airplane,Boeing,A75N1,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-05,Non-Fatal,Substantial,Airplane,Nalis,GLASTAR,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-05,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-05,Non-Fatal,Substantial,Airplane,Thomas c. piper,Murphy Rebel,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-07-06,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Incident,2009-07-06,Non-Fatal,Minor,Airplane,Mooney,M20J,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-06,Non-Fatal,Destroyed,Airplane,Cessna,182M,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,2009
Accident,2009-07-06,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Rans,S5 COYOTE,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-07-07,Fatal,Substantial,Airplane,Air tractor inc,AT-301,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Bellanca,8GCBC,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Cirrus design corp,SR22,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Cessna,182Q,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Bender,Kitfox,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Douglas,DC-3C,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,2009
Accident,2009-07-07,Non-Fatal,Substantial,Airplane,Cessna,T210N,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,2009
Accident,2009-07-08,Fatal,Destroyed,Airplane,Cessna,421C,2.0,Reciprocating,Executive/corporate,5.0,0.0,0.0,0.0,IMC,2009
Accident,2009-07-08,Non-Fatal,Substantial,Airplane,Pitts,S-2A,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-08,Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-08,Non-Fatal,Substantial,Airplane,Christen industries inc,PITTS S-2B,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,2009
Accident,2009-07-08,Non-Fatal,Substantial,Airplane,Lewis keith o,VIGGENITE,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-08,Non-Fatal,Substantial,Airplane,Piper,J3C,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-08,Fatal,Substantial,Airplane,Noles vance l,VANS RV7A,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,2009
Accident,2009-07-09,Fatal,Destroyed,Airplane,North american,SNJ-5,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-10,Fatal,Substantial,Airplane,Zivko aeronautics inc,EDGE 540,1.0,Reciprocating,Air Race show,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Substantial,Airplane,Air tractor inc,AT-502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Substantial,Airplane,Beech,35-A33,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,2009
Accident,2009-07-10,Fatal,Substantial,Airplane,Ayres corporation,S2R-T34,1.0,Turbo Prop,Other Work Use,1.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Unknown,Airplane,Airbus,A320-232,2.0,Turbo Fan,Unknown,0.0,2.0,2.0,149.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Substantial,Airplane,Flight design gmbh,CTSW,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Substantial,Airplane,Grumman acft eng cor-schweizer,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Substantial,Airplane,Cessna,310,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2009
Accident,2009-07-10,Non-Fatal,Substantial,Airplane,Christopher,VANS RV-4,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-11,Fatal,Destroyed,Airplane,Barber john a,GLASAIR,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,2009
Accident,2009-07-11,Non-Fatal,Substantial,Airplane,Piper,PA-28-235,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,2009
Accident,2009-07-11,Non-Fatal,Substantial,Airplane,Aeronca,7AC,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2009
Accident,2009-07-11,Non-Fatal,Substantial,Airplane,Engineering & research,415C,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,2009
